"IC50, mM","CC50, mM",SI,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,AvgIpc,BalabanJ,BertzCT,HallKierAlpha,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_N,fr_Ar_OH,fr_COO2,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azo,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol_noOrthoHbond,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiophene,fr_unbrch_alkane,fr_urea,ArN*LogP,MW/TPSA,Fp*Charge,Chi_Agg,Kappa_Agg,BCUT_Agg
1.9795346787591892,5.173221050427735,3.371596911885865,5.094096222,0.32730519546869746,0.32730519546869746,0.4173618733,42.92857143,384.652,340.3,0.0388436543,-0.2935255148,0.2935362967,0.0388436543,3.150502892,1.164037576,6.418234912149065,-0.66,5.162670161169505,0.0,0.0,0.0,0.0,0.0,0.0,2.396513360670216,0.0,0.0,0.0,4.014291942999445,74.03236601,35.34286376,0.0,0.0,2.5195793770591073,0.0,0.0,3.795052766762776,105.7506394,2.6454307483078225,0.0,0.0,0.0,0.0,0.0,0.0,3.239183533216919,0.0,3.540836822911169,4.670495641786346,9.984809465,0.0,0.0,3.2472688993694185,0.0,0.0,0.0,0.0,3.120599573338957,3.2552202863417876,4.17758547679083,2.5195793770591073,0.0,3.7505017710082553,2.396513360670216,0.0,0.0,2.414858975763827,0.0,4.807589193,1.0170075342456433,0.0,13.25822337,2.889320456583656,0.0,0.9230769231,3.367295829986474,0.0,1.0986122886681096,1.6094379124341003,0.0,4,0.0,0,1.0986122886681096,2,2.0794415416798357,1.6094379124341003,0.0,4,7.1212,121.53,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0986122886681096,1.0986122886681096,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.6094379124341003,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1.3862943611198906,0,0.0,118.4540030161022,0.18870190503400866,4.456780722118323,2.166257445157523,0.9421647228062244
0.5720136144650775,1.856738319656453,2.0794415416798357,3.961416713,0.4277929737815068,0.4277929737815068,0.4624728072,45.21428571,388.684,340.3,0.01288657023,-0.313407213,0.313407213,0.01288657023,3.150502892,1.080362063,6.24955068129681,-0.08,5.170138501271144,2.4538955039308536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.014291942999445,97.95185977,12.08368166,0.0,0.0,0.0,0.0,2.4538955039308536,3.540836822911169,117.8343211,2.6454307483078225,0.0,0.0,2.4538955039308536,0.0,0.0,0.0,3.264735775198822,0.0,3.540836822911169,4.670495641786346,0.0,0.0,0.0,3.221272949467922,0.0,0.0,0.0,0.0,3.120599573338957,3.2156503787048742,4.360518599255591,0.0,0.0,3.973607174449526,0.0,0.0,0.0,0.0,2.1886135446949018,2.153503044,1.0696559526806537,1.536673842,14.13538102,2.926948238830553,0.0,1.0,3.367295829986474,1.0986122886681096,1.0986122886681096,1.6094379124341003,0.0,4,0.0,0,1.0986122886681096,2,2.302585092994046,1.6094379124341003,0.0,4,6.1556,120.5074,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1.0986122886681096,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.6094379124341003,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1.3862943611198906,0,0.0,120.66161610558379,0.19028295073656828,4.506890596257538,2.200883349687913,0.9036747804226338
5.41525016441024,5.088474468079372,0.5423242908253616,2.627117384,0.4338781546105626,0.4338781546105626,0.2609227801,42.1875,446.808,388.344,0.09480154751,-0.3255733211,0.3255733211,0.09480154751,3.214947253,1.21906603,6.468661234173383,-0.08,5.309449464186221,2.299185492394725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7505017710082553,74.03236601,23.67162418,3.9957000068945283,2.299185492394725,0.0,0.0,0.0,3.540836822911169,117.8343211,3.7443189088620996,0.0,0.0,0.0,0.0,0.0,0.0,4.14835826816572,0.0,3.540836822911169,4.670495641786346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.120599573338957,3.2156503787048742,4.4689356088788585,0.0,0.0,4.258913796083653,0.0,1.2577874079752778,0.0,0.0,0.0,2.18412747,1.0752482579967972,1.738402237,14.49161927,2.9594425013139816,2.4144500307594043,1.0,3.4965075614664802,0.0,1.0986122886681096,1.6094379124341003,0.0,4,0.0,0,0.0,2,2.302585092994046,1.6094379124341003,0.0,4,7.1292,138.4528,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1.0986122886681096,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.6094379124341003,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0986122886681096,0.0,0,0,0,0,0,0,1.3862943611198906,0,0.0,89.64725149712906,0.18313499311874998,5.056536900938487,2.3069680433895945,0.8278994732064696
0.995332679015414,4.690022729372445,4.162552812285265,5.097360049,0.32973721102528275,0.32973721102528275,0.3778455056,41.86206897,398.679,352.311,0.0388436452,-0.2935255148,0.2935362967,0.0388436452,3.179269853,1.12051291,6.441984862793356,-0.66,5.198469773435771,0.0,0.0,0.0,0.0,0.0,0.0,2.396513360670216,0.0,0.0,0.0,4.12398245631962,74.03236601,35.34286376,0.0,0.0,2.5195793770591073,0.0,0.0,3.795052766762776,112.1714611,2.6454307483078225,0.0,0.0,0.0,0.0,0.0,0.0,3.239183533216919,0.0,3.540836822911169,4.728904023559879,9.984809465,0.0,0.0,3.2472688993694185,0.0,0.0,0.0,0.0,3.120599573338957,3.2552202863417876,4.271500548315011,2.5195793770591073,0.0,3.7505017710082553,2.396513360670216,0.0,0.0,2.4154422475050175,0.0,4.827851814,1.0188384410984561,0.0,14.69543927,2.8910389469427122,0.0,0.9259259259,3.4011973816621555,0.0,1.0986122886681096,1.6094379124341003,0.0,4,0.0,0,1.0986122886681096,2,2.1972245773362196,1.6094379124341003,0.0,4,7.5113,126.147,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0986122886681096,1.0986122886681096,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.6094379124341003,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1.6094379124341003,0,0.0,122.77363296812862,0.1821949427874079,4.558537160209406,2.235001576662493,0.9365010137342964
4.683348373138433,4.943576204504422,0.832909122935104,5.150509901,0.23939167424978114,0.23939167424978114,0.4290384545,36.51428571,466.713,424.377,0.06289745878,-0.2913066018,0.2935362967,0.06289745878,3.337073624,1.136678064,7.005031027607976,-2.22,5.360914639525805,0.0,0.0,0.0,0.0,0.0,0.0,2.396513360670216,0.0,0.0,0.0,4.201821209343562,103.0039156,22.25335094,2.515659928487864,0.0,3.1696075335141813,0.0,0.0,3.795052766762776,86.48817456,0.0,59.65783953,0.0,0.0,2.515659928487864,0.0,0.0,2.5195793770591073,2.004289781911613,3.540836822911169,4.523897828404889,58.51574601,0.0,0.0,3.2472688993694185,0.0,0.0,0.0,2.4706370668309248,2.4706370668309248,3.422025830988969,4.128346597276936,0.0,0.0,4.511665332850482,2.396513360670216,0.0,0.0,2.424892969433819,0.0,9.071782624,0.9575009281543556,17.86905772,8.627310799,2.7531712875099186,0.0,0.5757575758,3.58351893845611,0.0,1.0986122886681096,1.6094379124341003,0.0,4,0.0,2,1.0986122886681096,2,1.6094379124341003,1.6094379124341003,0.0,4,9.1148,148.338,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0986122886681096,1.0986122886681096,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,2,1.6094379124341003,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,143.724777486284,0.17612177801999998,5.043294487738179,2.2705588164633745,0.9311094232465016
2.774955330237603,3.4364300618264076,1.0986122886681096,5.758408035,0.24536128944962202,0.24536128944962202,0.7110121716,28.6,332.491,304.267,0.06289745878,-0.39872856,0.39872856,0.06289745878,2.920513098,1.52351605,6.6846009327346625,-2.09,5.02207897469397,1.907119939804785,0.0,0.0,0.0,0.0,0.0,1.7904927894945672,0.0,0.0,0.0,3.829438467222063,72.40855426,16.81406175,1.9002231064700512,0.0,2.895163456571767,0.0,0.0,3.124138316736148,46.45449809,1.907119939804785,59.65783953,0.0,1.907119939804785,2.515659928487864,0.0,0.0,1.9038500376405156,2.004289781911613,2.8762664654549175,3.9543270266441155,53.52334128,0.0,0.0,3.6732580732109796,0.0,0.0,0.0,1.858637512329941,1.858637512329941,3.2073496619315947,3.613645347916921,0.0,2.5751079027371104,4.063359684122574,2.461814756633245,0.0,0.0,1.8030311676145887,0.0,12.35843304,0.5914015949400385,16.87564974,4.766280046,2.1152637477424583,0.0,0.4347826087,3.258096538021482,1.0986122886681096,1.0986122886681096,1.0986122886681096,0.0,2,0.0,2,1.0986122886681096,2,1.3862943611198906,1.0986122886681096,0.0,2,5.7783,106.4264,0.0,0.0,0.6931471805599453,0.0,0.0,0,0.0,0,0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.6931471805599453,0.0,0,2,1.0986122886681096,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,90.51664581501971,0.3827794176,3.893293829442074,2.021496827956384,1.0435510036429776
2.9911300405071106,2.744657788270176,0.5709795465857378,2.584471926,0.3574292468007854,0.3574292468007854,0.3285394231,36.56410256,528.869,472.421,0.1321598962,-0.2930725744,0.2935362967,0.1321598962,3.412805476,1.15640578,7.0358716427659305,-1.64,5.482837903395512,0.0,2.515659928487864,0.0,0.0,0.0,0.0,2.299185492394725,0.0,0.0,0.0,4.201821209343562,90.1622724,23.67162418,3.7202417162794976,0.0,2.515659928487864,0.0,2.299185492394725,3.540836822911169,98.57185622,3.373849751905893,59.65783953,0.0,2.299185492394725,2.515659928487864,0.0,0.0,3.7202417162794976,2.004289781911613,3.540836822911169,4.523897828404889,48.53093655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54799663556672,3.3401264567464737,4.127563410258676,0.0,0.0,4.7813399232498135,0.0,1.1053068956964538,0.0,0.0,0.0,7.53482718,1.0175838675052842,20.65063998,9.374572388,2.7928428046000806,2.3819448666289014,0.6756756757,3.6888794541139363,0.0,1.0986122886681096,1.6094379124341003,0.0,4,0.0,2,0.0,2,1.9459101490553132,1.6094379124341003,0.0,4,8.8408,169.008,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1.0986122886681096,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,2,1.6094379124341003,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0986122886681096,0.0,0,0,0,0,0,0,0.0,0,0.0,89.64725149712906,0.16558457762488837,5.62123303269443,2.378233272868778,0.8743116220491784
3.3936048582650895,3.2024997125028665,0.598836501088704,13.82187958,0.07681748984239363,0.0,0.2173322319,31.33333333,695.089,624.529,0.225750274,-0.355623118,0.355623118,0.225750274,3.095616829,0.9245477374,7.287104829877583,-2.62,5.74191578686742,2.4538955039308536,0.0,0.0,2.5505663749538585,0.0,0.0,2.3598227495608732,0.0,0.0,0.0,4.827451030077413,132.0905303,13.08951281,2.4706370668309248,2.3598227495608732,2.5505663749538585,0.0,2.4538955039308536,3.164030673466507,174.368015,2.6454307483078225,69.77891136,0.0,2.4538955039308536,0.0,0.0,0.0,3.2543924660244197,3.533998882355358,3.164030673466507,5.220772493395159,36.39820241,0.0,0.0,4.0809215418899605,0.0,2.3598227495608732,0.0,3.540214737916349,3.205653764612501,4.58046956094312,3.854867344054998,0.0,0.0,4.638814584202655,0.0,0.0,0.0,3.35493558871666,2.0521410313627455,8.473058,1.2318439099073466,14.36361005,16.4150148,3.047334224752127,0.0,0.7021276596,3.9512437185814275,1.0986122886681096,1.6094379124341003,1.6094379124341003,0.0,4,0.0,2,1.0986122886681096,4,2.5649493574615367,1.0986122886681096,0.0,2,10.8371,212.4084,0.0,0.0,0.0,0.0,0.0,0,1.0986122886681096,0,0,0.0,0.0,1.0986122886681096,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0986122886681096,0,0.0,1.0986122886681096,0,2,1.9459101490553132,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1.6094379124341003,0,0.0,170.3264796602999,0.2161630717415281,6.655061740515141,2.84327545180915,0.8643150914074844
3.932943981257067,5.041547665286781,1.4038102159398782,14.17161448,0.018942553774256,0.0,0.1877813773,29.15789474,763.123,696.595,0.2301233691,-0.3256134337,0.3256134337,0.2301233691,3.184153271,0.8938029517,7.599188849150094,-4.18,5.839435846373105,2.4538955039308536,0.0,0.0,2.5505663749538585,0.0,0.0,2.3598227495608732,0.0,0.0,0.0,4.866728060025581,161.0620799,11.37477255,2.4706370668309248,2.3598227495608732,3.185903441795435,0.0,0.0,3.164030673466507,148.6847285,2.4538955039308536,129.4367509,0.0,2.4538955039308536,2.515659928487864,0.0,0.0,2.5505663749538585,3.705773939705353,3.164030673466507,5.100475355804553,84.92913896,0.0,0.0,4.0809215418899605,2.4706370668309248,2.3598227495608732,0.0,3.1631237797456486,3.205653764612501,4.418886515176573,3.8178796071294645,0.0,0.0,5.023568720925944,0.0,0.0,0.0,3.3790618201699583,2.0408884796479345,12.08548694,1.0986043303031088,31.0408069,11.2888642,2.964113889844868,0.0,0.5094339623,4.060443010546419,1.0986122886681096,1.6094379124341003,1.6094379124341003,0.0,4,0.0,4,1.0986122886681096,4,2.1972245773362196,1.0986122886681096,0.0,2,12.8222,236.2534,0.0,0.0,0.0,0.0,0.0,0,1.0986122886681096,0,0,0.0,0.0,1.0986122886681096,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0986122886681096,0,1.0986122886681096,1.0986122886681096,0,4,1.9459101490553132,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,186.99771416006732,0.18280052419159618,7.117198757818378,2.8486893122024495,0.8564978326737698
2.001594401639004,5.996219125913178,4.153137442011209,6.135893461,0.21448703305964156,0.21448703305964156,0.4399154244,36.4,468.685,428.365,0.1270830307,-0.457379178,0.457379178,0.1270830307,3.337073624,1.136678064,7.0108796275810015,-2.42,5.355019978859582,1.746912537239586,2.5256505348577916,0.0,0.0,0.0,0.0,2.396513360670216,0.0,0.0,0.0,3.7505017710082553,109.7216593,22.25335094,2.515659928487864,1.746912537239586,3.1696075335141813,0.0,0.0,3.795052766762776,80.06735294,0.0,48.53093655,2.5256505348577916,1.746912537239586,2.515659928487864,2.5256505348577916,0.0,2.5195793770591073,0.0,3.540836822911169,4.395280326930833,58.51574601,0.0,0.0,3.5539184686798193,0.0,0.0,0.0,2.4706370668309248,2.4706370668309248,3.882619972983857,3.640388978158505,0.0,3.229438572908151,4.201821209343562,2.755040169382967,1.9651374653736569,0.0,2.415012362326287,0.0,6.033338664,1.4447339336892953,16.48016883,7.523698139,2.744892138492557,0.0,0.5625,3.58351893845611,0.0,1.3862943611198906,1.6094379124341003,0.0,4,0.0,2,1.3862943611198906,3,1.6094379124341003,1.6094379124341003,0.0,4,9.3163,145.606,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0986122886681096,1.0986122886681096,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,2,1.6094379124341003,0.0,0.0,0.6931471805599453,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,131.87837710134733,0.2744275068,5.0192084865848505,2.2601891605178253,0.9401584958172129
